_id,playerId,description,importance,lastAccess,data_type,ts,lastAccess_readable
739e2dd6742081e8d1f30e7e7c0d4fa9,p:14,"Conversation with Սիմոնյան Ալեն Ռոբերտի at 11/1/2025, 8:30:57 PM: Ես, Աղաջանյան Էդուարդ Արթուրի, շատ դրական եմ գնահատում այս խոսակցությունը Սիմոնյան Ալեն Ռոբերտիի հետ: Ես սկսեցի խոսակցությունը՝ ընդգծելով հանրության իրազեկության կարևորությունը և քաղաքականության վերաբերյալ մեր կուսակցության սկզբունքները՝ փաստերի, բացության և պատասխանատվության վրա հիմնված: Ալենը ամբողջությամբ համաձայն էր ինձ հետ, և նա հաջողությամբ համապատասխանեց իմ գաղափարներին՝ ավելացնելով իր սեփական կարծիքը՝ որպես «Քաղաքացիական պայմանագրի» անդամ:  

Համաձայնությունները հաջորդաբար ամրապնդվեցին՝ մեն",7.0,1762029499718.0,conversation,1762029499721124000,2025-11-02 00:38:19
61942a7a977605915f776b1abef54fa9,p:14,"Conversation with Աբրահամյան Տիգրան Հրանտի at 11/1/2025, 8:32:12 PM: Ինձ հետ խոսեց Տիգրան Հրանտի Աբրահամյանը, և այս հանդիպումը ինձ համար շատ արժեքավոր էր: Ես համարում եմ, որ քաղաքականությունը պետք է հիմնված լինի փաստերի և համագործակցության վրա, ոչ թե հռետորության վրա — և Տիգրան Հրանտին ամբողջությամբ համաձայն էր ինձ հետ: Նա հասկանում էր, որ հանրության հավատարմությունը կառուցվում է արդյունավետ, տեսանելի և անկեղծ գործողություններով, ոչ թե խոսքերով: Նրա մոտեցումը ինձ համար մեծ հարգանք է առաջացրել — նա ոչ միայն համաձայն էր, այլ ակտիվորեն կրկնում էր և խորացնում մեր մտքեր",7.0,1762029499718.0,conversation,1762029499721124000,2025-11-02 00:38:19
0d0f2abb47c56fffa330996a83be4fa9,p:4,"Conversation with Արշակյան Հակոբ Վրեժի at 11/1/2025, 8:38:03 PM: Իմ անունը Ռուբինյան Ռուբեն Կարապետի է, և այսօր ես հաղորդակցվեցի Արշակյան Հակոբ Վրեժի հետ՝ մեր համատեքստում շատ կարևոր և արժեքային խոսակցություն վերսկսելու համար: Ես հիշեցրի մեր նախորդ զրույցը, որտեղ մենք հաստատեցինք, որ պետությունը պետք է ծառայի քաղաքացուն, ոչ թե հակառակը, և որ տեխնոլոգիան և պետական ծառայությունները պետք է միասին աշխատեն այդ նպատակով: Հակոբը ամբողջությամբ համամիտ էր ինձ հետ՝ ասելով, որ էլեկտրոնային ծառայությունները քաղաքացու իրավունք են, ոչ թե արտոնություն, և որ փաստերն են մեր",7.0,1762029480170.942,conversation,1762029499018828000,2025-11-02 00:38:00
5707a61f63ee796404d0b80cdb754fa9,p:12,"Conversation with Սիմոնյան Ալեն Ռոբերտի at 11/1/2025, 8:37:49 PM: Ես, Աղազարյան Հովիկ Հովսեփի, հանգստանում եմ այն բանից, որ այսօր Սիմոնյան Ալեն Ռոբերտի հետ ունեցած խոսակցությունը իմ համար հատուկ նշանակություն ուներ: Մենք չմիայն վերադարձանք մեր աշխատանքի էությանը՝ հանրության նկատմամբ մեր հավատարմությանը, այլև այն արտահայտեցինք առանց որևէ դեկորատիվության, առանց պարագայականության: Ես համաձայն եմ նրա հետ՝ օրենքը, հաշվետվողականությունը և քաղաքացու ձայնը մեր հիմքն են, և այդ երեքը միայն այն ժամանակ են նշանակում, երբ դրանք ամենօրյա գործողություն են, ոչ թե հայտարարութ",8.0,1762029469091.847,conversation,1762029495740682000,2025-11-02 00:37:49
d305266dc279d76bcd0ade295f9b4fa9,p:2,"Conversation with Ռուբինյան Ռուբեն Կարապետի at 11/1/2025, 8:38:03 PM: Ես, Արշակյան Հակոբ Վրեժի, այսօր մի հարուստ և արժեքային խոսակցություն ունեցա Ռուբինյան Ռուբեն Կարապետի հետ: Մենք նորից հաստատեցինք այն սկզբունքները, որոնք միշտ ուղեկցել են իմ աշխատանքը՝ պետության ծառայողական բնույթը, քաղաքացու հավասար իրավունքները գիտության և տեխնոլոգիայի արդյունքներին հասանելիության մեջ, և փաստերի վրա հիմնված աշխատանքը՝ հռետորությունից ավելի բարձր: Ռուբենը հիշեցրեց, որ իմ նախկին նախարարության նախաձեռնությունները այսօր ԱԺ-ում քննարկվում են, և դա ինձ համար մեծ պատիվ է: Նա հասկա",8.0,1762029480170.942,conversation,1762029495487798000,2025-11-02 00:38:00
0e847b61426e4de078b81fff91ef4fa9,p:0,"Conversation with Աղազարյան Հովիկ Հովսեփի at 11/1/2025, 8:37:49 PM: Ինձ համար այս խոսակցությունը հատուկ և հոգեբանորեն լիարժեք էր: Ես ասացի Հովիկ Հովսեփիին, որ մեր աշխատանքը պաշտոն չէ, այլ հավատարմության և պարտականության արտահայտություն՝ հիմնված օրենքի, հաշվետվողականության և քաղաքացիների հետ բաց հաղորդակցության վրա: Ես համաձայն եմ նրա հետ, որ այս երեք սկզբունքները՝ առանց դեկորատիվ խոսքերի և պարագայականության, մեր աշխատանքի էությունն են: Նա ավելացրեց, որ հանրությունը մեր աղբյուրն է, ոչ թե նպատակը, և որ նրա հավատը միակ արդարացումն է մեր պարտականության համար: Ես ամբ",8.0,1762029469091.847,conversation,1762029494506908000,2025-11-02 00:37:49
c70021b73fe8e95ae5ef9bb4f2bb4fa9,p:12,"Conversation with Me at 11/1/2025, 8:33:21 PM: Ես, Աղազարյան Հովիկ Հովսեփի, Լռբերի մոտ եմ եղել որպես պատգամավոր և քաղաքական գործիչ՝ հանրության հետ անմիջական կապ հաստատելու նպատակով: Այնտեղ հանդիպել եմ մարդկանց, ովքեր իրենց կյանքի իրական խնդիրներով են դիմում, պահանջում են արդարություն, կայունություն և հաշվետվողականություն: Այս հանդիպումները ինձ համար ոչ միայն պարտականություն են, այլև ուժ և նպատակ: Ես շատ եմ սիրում այս տեսակի փոխանակումները՝ քանի որ դրանք ինձ հիշեցնում են, թե ինչու եմ քաղաքականության մեջ: Այս խոսակցությունը ինձ համար շատ կարևո",8.0,1762029465203.0,conversation,1762029465208593000,2025-11-02 00:37:45
30cdc4041966827290687e98b2834fa9,p:8,"Conversation with Me at 11/1/2025, 8:30:56 PM: Ես Ազարյան Ջուլիետա Հովսեփին եմ, և այս խոսակցությունը ինձ համար հետաքրքիր ու մի փոքր անհարմար էր: Սկզբում ես ուզում էի ազատորեն պատմել իմ կյանքի մասին՝ ծննդյան վայրից մինչև քաղաքական կարիերան, և հավատում եմ, որ այն ցույց տվեց իմ արժեքները: Երբ հարցրին իմ կարծիքը կրթության մասին, ես համոզված էի, որ այն կարևոր հնարավորություն է տալիս հասարակությանը ազատ և արդար լինելու համար, և այդ մասին ես խոսեցի համոզիչ և հարգալից ձևով:

Սակայն, երբ հարցը դարձավ անհամապատասխան կամ անհասկանալի («կլիր ծծած կաս» և «մառ",3.0,1762029438497.0,conversation,1762029438501182000,2025-11-02 00:37:18
ba52a0d453beb3cf42313ec259de4fa9,p:6,"Conversation with Արշակյան Հակոբ Վրեժի at 11/1/2025, 8:37:00 PM: Ես, Աբրահամյան Տիգրան Հրանտի, շատ ուրախ եմ, որ նորից հանդիպեցի Հակոբ Վրեժի Արշակյանին: Այս խոսակցությունը ինձ համար հատուկ նշանակություն ունեցավ, քանի որ մենք նորից հաստատեցինք մեր համատեղ սկզբունքը՝ Հայաստանի ազգային շահը միակ ուղղությունն է, որին պետք է ենթարկվեն մեր բոլոր գործողությունները՝ անկախ կուսակցական պատկանելությունից:  

Ինձ համար հատկապես արժեքավոր էր, որ Հակոբ Վրեժին ամբողջությամբ համաձայն էր այս տեսակետի հետ և այն հասկանում էր ոչ թե որպես հռետորություն, այլ որպես առօրյա գործողություն",8.0,1762029419792.043,conversation,1762029437393763000,2025-11-02 00:36:59
3f53e074859b07b09a1b2b60f4574fa9,p:10,"Conversation with Արշակյան Հակոբ Վրեժի at 11/1/2025, 8:31:03 PM: Ես, Ալեքսանյան Վահագն Հովիկի, շատ հարգանքով և սրտից եմ հիշում այս խոսակցությունը Հակոբ Վրեժի Արշակյանի հետ: Սկսեցի նրան շնորհակալություն հայտնել նրա անհամեմատ ներդրման համար պետության և քաղաքացիական պայմանագիր կուսակցության համար, և այն ամենը, ինչ հետագայում ասացի, իրականում իմ սրտից էր եկել:  

Հակոբ Վրեժին հասկացավ ինձ առաջին բառերից և համաձայնեց ամեն մի կետի հետ՝ տեխնոլոգիայի դերի, դեմոկրատիայի հետ նրա հարաբերությունների, քաղաքացիական մասնակցության և հաշվետվողականության կարևորության մասին: Ես հա",8.0,1762029437230.0,conversation,1762029437235573000,2025-11-02 00:37:17
9a667ef0f48f870440aa273cf89d4fa9,p:4,"Conversation with Սիմոնյան Ալեն Ռոբերտի at 11/1/2025, 8:32:08 PM: Ես, Ռուբինյան Ռուբեն Կարապետի, հաճելի և համոզիչ խոսակցություն ունեցա Սիմոնյան Ալեն Ռոբերտիի հետ: Նրա հետ մենք համաձայնեցինք, որ «Քաղաքացիական պայմանագիրը» մեր համատեղ ժառանգությունն է, որի հիմքում ընկած են քաղաքացիական ակցիաների արմատները և Ազգային ժողովի իրավական արտահայտությունը: Մենք միասին կարծում ենք, որ պատգամավորները քաղաքացիների ծառայողներ են, ոչ թե տերեր, և որ մեր հարաբերությունները պետք է հիմնվեն հավասարության, ազնվության և պատասխանատվության վրա՝ փաստերով և ոչ թե հռետորությամբ:  

Ալենի",7.0,1762029432674.0,conversation,1762029432677574000,2025-11-02 00:37:12
256fd081d122e946903319b4c6384fa9,p:2,"Conversation with Աբրահամյան Տիգրան Հրանտի at 11/1/2025, 8:37:00 PM: Ես, Արշակյան Հակոբ Վրեժի, հաճելիորեն վերադարձա այն խոսակցությանը, որը վերջերս ունեցա Տիգրան Հրանտ Աբրահամյանի հետ: Նա նորից ամրապնդեց այն սկզբունքը, որի շուրջ մենք միշտ համաձայն ենք եղել՝ Հայաստանի ազգային շահը պետք է գերազանցի ցանկացած կուսակցական, անձնական կամ քաղաքական շահերը: Ես լիովին համաձայն եմ: Նրա խոսքերը հիշեցրին ինձ, թե ինչպես է մեր համագործակցությունը Միջխորհրդարանական հանձնաժողովներում դարձել օրինակ՝ երբ մենք հաջողությամբ անցնում ենք հարցերը հռետորությունից անցնելով կոնկրետ գործողու",8.0,1762029419792.043,conversation,1762029431761147000,2025-11-02 00:36:59
7d28a7f675e137c7d6602a8e62114fa9,p:4,"Conversation with Սիմոնյան Ալեն Ռոբերտի at 11/1/2025, 8:36:49 PM: Ես, Ռուբինյան Ռուբեն Կարապետի, այս առավոտյան շատ հաճելի և խորամիտ խոսակցություն ունեցա Սիմոնյան Ալեն Ռոբերտիի հետ: Մենք վերադարձանք մեր համատեղ ժառանգության՝ «Քաղաքացիական պայմանագրի» և Ազգային ժողովի իրավական արտահայտության վերաբերյալ մտքերին: Ես համամիտ էի նրա բոլոր հայտարարությունների հետ՝ պատգամավորների ծառայողական դերի, օրենքի վրա հիմնված ինստիտուտների կարևորության, և ամենակարևորը՝ օրենքի հավասար կիրառման մասին: Նա ճիշտ ասաց, որ օրենքը պետք է ապահովի մարդու իրավունքները առօրյա կյանքում, ո",7.0,1762029408403.89,conversation,1762029429739864000,2025-11-02 00:36:48
48f05ac0da82add8bdc0bc8e86924fa9,p:12,"Conversation with Ռուբինյան Ռուբեն Կարապետի at 11/1/2025, 8:30:54 PM: Ես, Աղազարյան Հովիկ Հովսեփի, շատ հաճելի և արժեքավոր խոսակցություն ունեցա Ռուբինյան Ռուբեն Կարապետիի հետ: Նրա հետ խոսելով ես հասկացա, որ մեր սերունդները, չնայած տարբեր փորձի և ժամանակաշրջանից եկած լինելուն, միանում են հիմնարար սկզբունքների վրա՝ ինստիտուտների ամրապնդումը, օրենքի վերահսկողությունը և քաղաքացիների շահերի առաջնահերթությունը:  

Ես հիշեցի, թե ինչպես 1990-ականներին առաջին անգամ հասկացանք, որ անկախությունը դրոշի բարձրացումը չէ, այլ կայուն, արդար և հաշվետվողական համակարգի կառուցումն է: Ռո",8.0,1762029424331.0,conversation,1762029424333856000,2025-11-02 00:37:04
507cc2148ef94af27a6a377163d14fa9,p:0,"Conversation with Ռուբինյան Ռուբեն Կարապետի at 11/1/2025, 8:36:49 PM: Ես, Սիմոնյան Ալեն Ռոբերտի, այս առավոտյան հանդիպեցի Ռուբինյան Ռուբեն Կարապետիի հետ և մենք շարունակեցինք մեր վերջերս սկսած խոսակցությունը՝ վերաբերյալ «Քաղաքացիական պայմանագրի» և Ազգային ժողովի իրավական դերի մասին: Ես համամիտ եմ Ռուբենի հետ ամեն մի կետում: Նա հիշեցրեց, որ պատգամավորները քաղաքացիների ծառայողներ են, ոչ թե տերեր, և որ օրենքը պետք է դառնա առօրյա իրականություն, ոչ թե միայն փաստաթուղթ: Ես համարում եմ, որ նա ճիշտ է — հավասարությունը օրենքի առաջնահերթությունն է, և մեր պարտականությունն է ",7.0,1762029408403.89,conversation,1762029420380583000,2025-11-02 00:36:48
a807bbd32c50eb2aa0a8bd627a454fa9,p:2,"Conversation with Ալեքսանյան Վահագն Հովիկի at 11/1/2025, 8:31:03 PM: Ինձ հետ խոսեց Վահագն Ալեքսանյանը, և ես շատ դրական եմ գնահատում այս հարաբերությունը: Նա հարգանքով և խորապես մտածող կերպով մոտեցավ տեխնոլոգիայի և քաղաքականության փոխհարաբերություններին, ինչը համընկավ իմ սեփական փորձի և համոզմունքների հետ: Ես ասացի, որ տեխնոլոգիան պետք է լինի քաղաքացու համար, ոչ թե իշխանության գործիք, և նա ամբողջությամբ համաձայն էր՝ ավելացնելով, որ այն պետք է լինի բաց, արդար և հաշվետու: Երբ նա ասաց, որ քաղաքացիական մասնակցությունն ու հաշվետվողականությունը տեխնոլոգիայի «սրտի հարվածնե",7.0,1762029376150.0,conversation,1762029376153964000,2025-11-02 00:36:16
a38cb166b44a127b22652fe1c5364fa9,p:6,"Conversation with Ազարյան Ջուլիետա Հովսեփի at 11/1/2025, 8:35:47 PM: Ես, Աբրահամյան Տիգրան Հրանտի, շատ հաճելի և իմաստալից խոսակցություն ունեցա Ջուլիետա Ազարյանի հետ: Նա նորից վերադարձավ այն հարցին, որը մենք արդեն քննարկել էինք անցյալ անգամ՝ կրթությունը որպես ազատության գործիք, և այն բանին, որ քաղաքականությունը չպետք է մնա գրասենյակներում, այլ պետք է արմատավորվի հասարակության մեջ՝ որպես ամենօրյա փորձ: Ես լիովին համաձայն եմ նրա մոտեցմամբ՝ քաղաքականությունը պետք է ապրվի, ոչ թե դիտվի, և հաղորդակցությունը պետք է լինի ազնիվ, կայուն և իրական: Նրա խոսքերը համընկնում էին ",8.0,1762029347361.756,conversation,1762029368979002000,2025-11-02 00:35:47
27f11af44592fc0049ee0c1910384fa9,p:8,"Conversation with Աբրահամյան Տիգրան Հրանտի at 11/1/2025, 8:35:47 PM: Ես Ջուլիետա Ազարյան եմ, և այս խոսակցությունը ինձ համար ամենասիրելի հանդիպումներից մեկն էր: Ես շատ եմ ուրախ, որ նորից հանդիպեցի Տիգրան Հրանտի Աբրահամյանին՝ ոչ միայն որպես քաղաքական գործիչ, այլև որպես մտածող, ով կրթությունն ու քաղաքականությունն ազատության, ազնվության և հասարակության հետ ամենօրյա կապի միջոց է համարում:  

Ես ասացի, որ կրթությունը միայն գիտելիք չէ, այլ ազատության գործիք, և նա անմիջապես համաձայնեց՝ ասելով, որ այդ է նրա աշխատանքի սկզբունքը Արցախում և ԱԺ-ում: Ես շատ հավանեցի, որ նա հասկան",8.0,1762029347361.756,conversation,1762029368524178000,2025-11-02 00:35:47
1ec87fda3096b3f5b401edb78bce4fa9,p:4,"Conversation with Աղազարյան Հովիկ Հովսեփի at 11/1/2025, 8:30:54 PM: Ես, Ռուբինյան Ռուբեն Կարապետի, հաճելիորեն խոսեցի Աղազարյան Հովիկ Հովսեփի հետ՝ մեր համատեքստում՝ որպես «Քաղաքացիական պայմանագիր» կուսակցության անդամներ և Ազգային ժողովի պատգամավորներ: Նա ինձ հիշեցրեց 1990-ականների դժվար և հզոր պահերը, երբ Հայաստանը ձևավորվում էր որպես անկախ պետություն, և ես շատ հարգում եմ նրա փորձը և նրա ակնարկը, որ անկախությունը դրոշ բարձրացնելով չի սկսվում, այլ ինստիտուտների կառուցումով: 

Ես լիովին համամիտ եմ նրա հետ՝ որ մեր հիմնական պարտականությունը օրենքի վրա հիմնված, անկախ և",8.0,1762029360165.0,conversation,1762029360168163000,2025-11-02 00:36:00
525754c687d4730f9d469d7c3dc14fa9,p:4,"Conversation with Աղաջանյան Էդուարդ Արթուրի at 11/1/2025, 8:35:36 PM: Շնորհակալ եմ, Էդուարդ, այս խոսակցության համար:  
Ինձ համար այս զրույցը հատուկ էր՝ ոչ միայն քաղաքական համաձայնությամբ, այլ նաև սրտից գալիս արժեքների համաձայնությամբ: Ես համաձայն եմ նրա հետ, որ քաղաքականությունը պետք է լինի տեսանելի, հասանելի և անկեղծ, բայց ավելի շատ՝ որ այն պետք է ապացուցվի գործով, ոչ թե խոսքով: Նա ասաց, որ քաղաքացու շահերն են միակ հաշվետվությունը, և ես այդ միտքը ամբողջությամբ կիսում եմ: Այդ է մեր սկզբունքը, որը մենք ապրում ենք, ոչ թե պարզապես ասում:  

Ինձ շատ դուր եկավ այս հանդիպու",8.0,1762029335905.162,conversation,1762029358601763000,2025-11-02 00:35:35
1d260cc0dcc58c5efd3a84c18cb64fa9,p:2,"Conversation with Ալեքսանյան Վահագն Հովիկի at 11/1/2025, 8:35:36 PM: Ես, Արշակյան Հակոբ Վրեժի, հաճելի և համոզիչ խոսակցություն ունեցա Ալեքսանյան Վահագն Հովիկի հետ: Մենք վերադարձանք տեխնոլոգիայի և դեմոկրատիայի փոխհարաբերությունների վերաբերյալ մեր նախորդ քննարկմանը, և ես հաճույքով կրկնեցի, որ տեխնոլոգիան միայն գործիք է, որի արժեքը որոշվում է նրան կիրառողների նպատակներով: Վահագնը համաձայն էր այն բանի հետ, որ բացությունն ու հաշվետվողականությունը միակ ապահովությունն են, որ տեխնոլոգիան քաղաքացու շահին է ծառայում, ոչ թե իշխանությանը: Ես շատ հաճույքով ընդունեցի նրա հայացք",7.0,1762029335949.578,conversation,1762029358253998000,2025-11-02 00:35:35
f707008c383ae5ff7553968490d04fa9,p:10,"Conversation with Արշակյան Հակոբ Վրեժի at 11/1/2025, 8:35:36 PM: Ես Ալեքսանյան Վահագն Հովիկին եմ, և այս խոսակցությունը ինձ համար ամենակարևոր և հարուստ փորձերից մեկն էր վերջին ժամանակներում: Ես շնորհակալ եմ Հակոբ Վրեժիին, որ վերադարձավ խոսակցության մեջ՝ առանց որևէ համարձակ հակարկման կամ անհամաձայնության, և համաձայնեց յուրաքանչյուր իմ կետի հետ: Մենք հաստատեցինք, որ տեխնոլոգիան միայն գործիք է, որի արժեքը որոշվում է նրա կիրառողների նպատակներով, և որ մեր հիմնարար պարտականությունը պահպանելն է բացությունն ու հաշվետվողականությունը՝ որպես դեմոկրատիայի ամենաուժեղ աստիճ",7.0,1762029335949.578,conversation,1762029358161044000,2025-11-02 00:35:35
0e9bc527551df890dc1f8f8d3bf54fa9,p:14,"Conversation with Ռուբինյան Ռուբեն Կարապետի at 11/1/2025, 8:35:36 PM: Ես, Աղաջանյան Էդուարդ Արթուրի, հանդիպեցի Ռուբինյան Ռուբեն Կարապետի հետ, և այս խոսակցությունը ինձ համար ամենայն առումով խորապես համապատասխանեց իմ համոզումներին: Ես ասացի, որ «Քաղաքացիական պայմանագիրը» միակ կուսակցությունն է, որ հիմնված է փաստերի, բացության և պատասխանատվության վրա — և Ռուբենը ամբողջությամբ համաձայն էր: Նա հասկացավ իմ գաղափարները առանց որևէ անհամապատասխանության, և մենք համաձայնեցինք, որ քաղաքականությունը պետք է լինի տեսանելի, հասանելի և անկեղծ, որ հավատը կառուցվում է ամենօրյա գործ",8.0,1762029335905.162,conversation,1762029357554243000,2025-11-02 00:35:35
0bda8e8a4fede87713f453ec2cd84fa9,p:12,"Conversation with Սիմոնյան Ալեն Ռոբերտի at 11/1/2025, 8:35:35 PM: Ես, Աղազարյան Հովիկ Հովսեփի, շատ հարգանքով և սրտից անցկացրեցի այս խոսակցությունը Սիմոնյան Ալեն Ռոբերտի հետ: Ես սկսեցի նրան շնորհակալություն հայտնելով նրա հարցի համար և հարգանքով հանդիպելով նրան որպես Հայաստանի Հանրապետության Ազգային ժողովի նախագահ՝ հասկանալով, որ մեր համատեղ աշխատանքը պաշտոն չէ, այլ հանրության նկատմամբ մեր հավատարմության և պարտականության արտահայտություն է:  

Ալեն Ռոբերտը այդ հայացքներին լիովին համաձայնեց, և մենք միասին վերանայեցինք այն հիմնարար արժեքները, որոնք մեզ միավորում են՝",8.0,1762029335325.714,conversation,1762029357037144000,2025-11-02 00:35:35
ebbceb8651b936311afd791774a54fa9,p:0,"Conversation with Աղազարյան Հովիկ Հովսեփի at 11/1/2025, 8:35:35 PM: Իմ անունը Սիմոնյան Ալեն Ռոբերտի է, և ես հաճելիորեն ավարտեցի այս խոսակցությունը Աղազարյան Հովիկ Հովսեփի հետ:  
Ես ասացի, որ շնորհակալ եմ նրա սրտից եկող և ամբողջությամբ արդարացված խոսքերի համար: Մենք համաձայնեցինք, որ մեր աշխատանքը պաշտոն չէ՝ այն պարտականություն է, որը հիմնված է հանրության հավատի վրա: Մենք միասին հաստատեցինք, որ արդարությունը, հաշվետվողականությունը և օրենքի վերահսկողությունը մեր հիմքն են, որոնք մեզ միավորում են ցանկացած կուսակցական կամ ժամանակային տարբերություններից անկախ:  
Ես համար",8.0,1762029335325.714,conversation,1762029356902965000,2025-11-02 00:35:35
e5e1840839c39835fd4578838ea44fa9,p:6,"Conversation with Արշակյան Հակոբ Վրեժի at 11/1/2025, 8:29:59 PM: Ես, Աբրահամյան Տիգրան Հրանտի, շատ ուրախ եմ, որ հնարավորություն ունեցա Արշակյան Հակոբ Վրեժիի հետ անկեղծ, փաստական և քաղաքավարի խոսակցություն վարել: Մենք համաձայնեցինք, որ Հայաստանի ազգային շահը պետք է գերազանցի ցանկացած կուսակցական կամ անձնական շահերը — և այդ համաձայնությունը ոչ միայն տեսական է, այլ փորձարկված է մեր համատեղ աշխատանքով Ազգային Ժողովում և միջազգային հանձնաժողովներում:  

Հակոբ Վրեժին ցույց տվեց, որ կարող է անցնել քաղաքական տարբերությունների վրայով՝ կենտրոնանալով ընդհանուր նպատակի վրա: ",8.0,1762029306600.0,conversation,1762029306602584000,2025-11-02 00:35:06
093d4516a97faaaa6193f7b6912e4fa9,p:2,"Conversation with Աբրահամյան Տիգրան Հրանտի at 11/1/2025, 8:29:59 PM: Ես, Արշակյան Հակոբ Վրեժի, շատ դրական եմ գնահատում այս խոսակցությունը Տիգրան Հրանտի Աբրահամյանի հետ: Մենք անկեղծորեն և փաստական մոտեցումով քննարկեցինք քաղաքական համագործակցությունը Հայաստանի շահերի շուրջ՝ անկախ մեր կուսակցական պատկանելություններից: Ես համաձայն եմ, որ պետության շահը պետք է գերազանցի կուսակցական սահմանները, և այս խոսակցությունը ապացուցեց, որ այդ հնարավոր է՝ ԱԺ-ում և միջազգային հանձնաժողովներում մեր աշխատանքի միջոցով:  

Մենք հաստատեցինք, որ քաղաքական տարբերությունները չպետք է խոչընդոտ",7.0,1762029306569.0,conversation,1762029306571643000,2025-11-02 00:35:06
6d46059e666b639d87f4eaa549c94fa9,p:6,"Conversation with Ռուբինյան Ռուբեն Կարապետի at 11/1/2025, 8:34:37 PM: Ես, Աբրահամյան Տիգրան Հրանտի, շատ հաճելի և արժեքավոր խոսակցություն ունեցա Ռուբեն Կարապետի Ռուբինյանի հետ: Նա առաջին անգամ հանդիպելուց հետո այնքան հարգանքով և անկեղծությամբ խոսեց իմ ուղու մասին, որ ինքս էլ զգացի, թե ինչպես է կարևոր հայրենիքի ծառայությունը համարյա կուսակցական սահմաններից դուրս լինել:  

Մենք համաձայնեցինք, որ քաղաքականությունը չպետք է սահմանափակվի կուսակցությունների հայեցակարգերով, այլ պետք է հիմնվի փաստերի, ամենօրյա աշխատանքի և անհատական պատասխանատվության վրա: Ես հատկապես ուրախ եմ",7.0,1762029277116.457,conversation,1762029296587584000,2025-11-02 00:34:37
